id,firstname,lastname,fatherwords,motherwords,lwords,gendre
2790008299,Matthew,Amroliwala,0.0,0.0,0.0,-0.99
1308444870,Aaron,Heslehurst,0.0,0.0,0.0,-1.0
1251785912,Dave,Lee,0.0,0.0,0.0,0
1201698912,Ben,Brown,0.0,0.0,0.0,-0.99
1182810494,Alan,Johnston,0.0,0.0,0.0,-1.0
960709321,Matt,McGrath,0.0,0.0,0.0,-1.0
720108722,Will,Gompertz,0.0,0.0,0.0,-0.98
624579080,Nuala,McGovern,0.0,0.0,0.0,1.0
544641143,Mariko,大井真理子,0.0,0.0,0.0,0
507513268,Stephen,Smith,0.0,0.0,0.0,-0.99
492285158,Allegra,Stratton,0.0,0.0,0.0,1.0
465403720,Sally,Bundock,0.0,0.0,0.0,1.0
438111039,Steve,Rosenberg,0.0,0.0,0.0,-1.0
366497984,Clive,Myrie,0.0,0.0,0.0,-0.5
331658004,Daniel,Sandford,0.0,0.0,0.0,-0.99
329600057,Pallab,Ghosh,0.0,0.0,0.0,-1.0
328406897,Quentin,Sommerville,0.0,0.0,0.0,-0.99
297061383,Martine,Croxall,0.0,0.0,0.0,0.93
296319355,Mark,Simpson,0.0,0.0,0.0,-0.99
264224758,Babita,Sharma,0.0,0.0,0.0,1.0
263160998,Mark,Easton,0.0,0.0,0.0,-0.99
262672654,Naga,Munchetty,0.0,0.0,0.0,-0.89
250651231,Tim,Whewell,0.0,0.0,0.0,-1.0
243630696,Peter,Hunt,0.0,0.0,0.0,-0.99
235973288,John,Moylan,0.0,0.0,0.0,-0.99
235180806,Emma,Simpson,0.0,0.0,0.0,1.0
209584092,Danny,Shaw,0.0,0.0,0.0,-1.0
205257492,Karen,Allen,0.0,0.0,0.0,1.0
198494684,David,Shukman,0.0,0.0,0.0,-1.0
197401382,Tim,Willcox,0.0,0.0,0.0,-1.0
192318065,Karin,Giannone,0.0,0.0,0.0,0.99
166712218,James,Landale,0.0,0.0,0.0,-1.0
157044469,Hugh,Pym,0.0,0.0,0.0,-1.0
146513211,Fergus,Walsh,0.0,0.0,0.0,-1.0
146449017,Ian,Pannell,0.0,0.0,0.0,-1.0
132195390,andrew,harding,0.0,0.0,0.0,-0.99
130104942,Jon,Sopel,0.0,0.0,0.0,-0.99
127790650,Sanjoy,Majumder,0.0,0.0,0.0,-0.5
125656811,Barbara,Plett,0.0,0.0,0.0,1.0
120071591,Carrie,Gracie,0.0,0.0,0.0,0.99
117047389,Tim,Franks,0.0,0.0,0.0,-1.0
116798290,david,eades,0.0,0.0,0.0,-1.0
115430599,Zeinab,Badawi,0.0,0.0,0.0,1.0
111310036,George,Alagiah,0.0,0.0,0.0,-1.0
108352527,lyse,doucet,0.0,0.0,0.0,1.0
106118793,norman,smith,0.0,0.0,0.0,-0.99
104615636,Rory,Cellan-Jones,0.0,0.0,0.0,-0.84
104585489,Jonathan,Amos,0.0,0.0,0.0,-1.0
97170019,Ross,Hawkins,0.0,0.0,0.0,-1.0
95148130,Chris,Morris,0.0,0.0,0.0,-0.94
92771309,Ros,Atkins,0.0,0.0,0.0,0.91
85315904,Gordon,Farquhar,0.0,0.0,0.0,-0.99
79292795,Kamal,Ahmed,0.0,0.0,0.0,-1.0
74265849,Mishal,Husain,0.0,0.0,0.0,0.62
74264602,Lucy,Hockings,0.0,0.0,0.0,0.99
69860260,Mark,Mardell,0.0,0.0,0.0,-0.71
61183568,Laura,Kuenssberg,0.0,0.0,0.0,1.0
52000483,Gavin,Hewitt,0.0,0.0,0.0,-1.0
49492585,Philippa,Thomas,0.0,0.0,0.0,1.0
48515966,lucy,manning,0.0,0.0,0.0,0.99
47854857,Alastair,Leithead,0.0,0.0,0.0,-1.0
47646874,Matthew,Price,0.0,0.0,0.0,-1.0
44638576,Kim,Ghattas,0.0,0.0,0.0,0.34
43996908,Katty,Kay,0.0,0.0,0.0,1.0
42866071,Tim,Reid,0.0,0.0,0.0,-1.0
42501345,Jeremy,Bowen,0.0,0.0,0.0,-1.0
37692191,James,Coomarasamy,0.0,0.0,0.0,-0.71
27831488,Yalda,Hakim,0.0,0.0,0.0,1.0
27617013,Mike,Embley,0.0,0.0,0.0,-1.0
25984418,Nick,Robinson,0.0,0.0,0.0,-0.46
23052625,Jonah,Fisher,0.0,0.0,0.0,-0.58
22460658,Chris,Mason,0.0,0.0,0.0,-0.93
21642976,Dan,Roan,0.0,0.0,0.0,-0.99
20388784,Ben,Thompson,0.0,0.0,0.0,-0.99
19874960,Jon,Kay,0.0,0.0,0.0,-0.99
19707850,Richard,Taylor,0.0,0.0,0.0,-0.99
19294743,Tanya,Beckett,0.0,0.0,0.0,0.99
17024780,James,Cook,0.0,0.0,0.0,-0.99
14157134,Robert,Peston,0.0,0.0,0.0,-1.0
399933,Dominic,Casciani,0.0,0.0,0.0,-0.99
